course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
SOC     185A,NIELSEN E S,Spring,2024,30,10,4,0,1,86,0,3.56744186,0,SOC,0,0,29,3,1,0,4,1,1,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SOC     185G,RAYMOND E,Spring,2024,10,15,7,1,1,86,0,2.962790698,0,SOC,0,0,0,13,5,1,15,14,3,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SOC     185S,SOBOTKA T C,Spring,2024,7,10,5,1,10,83,0,2.525301205,0,SOC,0,0,0,10,4,2,14,11,8,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      2,BARRY C M,Spring,2024,2,7,4,0,6,33,0,2.272727273,0,SPAN,0,0,0,0,2,0,4,5,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      2,PAREDES-RIVER,Spring,2024,0,7,4,1,0,22,0,2.740909091,0,SPAN,0,0,1,3,1,1,2,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      2,THURMAN N B,Spring,2024,10,7,1,0,0,36,0,3.366666667,0,SPAN,0,0,2,7,3,0,4,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      4,ROMINE J T,Spring,2024,2,5,1,0,1,16,0,2.94375,0,SPAN,0,0,0,1,1,0,3,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      5,CRAVEIRO DE M,Spring,2024,3,8,0,0,1,21,0,3.119047619,0,SPAN,0,0,0,1,1,0,5,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      5,VERA FLANDEZ,Spring,2024,1,1,0,0,1,10,0,2.95,0,SPAN,0,0,0,1,0,0,4,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN      6,AGUILAR M,Spring,2024,8,12,6,0,1,47,0,3.055319149,0,SPAN,0,0,0,4,1,1,11,2,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN     16A,CHAVIRA A I,Spring,2024,2,5,1,0,2,23,0,2.752173913,0,SPAN,0,0,0,0,2,0,7,2,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN     16A,RAMIREZ B E,Spring,2024,11,6,1,0,0,24,0,3.5,0,SPAN,0,0,0,3,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN     16B,MARQUES GARCI,Spring,2024,3,8,2,0,0,20,0,3.195,0,SPAN,0,0,0,0,0,0,5,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN     25,BARRY C M,Spring,2024,1,6,3,0,0,19,0,2.878947368,0,SPAN,0,0,0,2,1,1,3,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN     30,GONZALES-SMIT,Spring,2024,30,0,1,0,0,51,0,3.758823529,0,SPAN,0,0,1,3,1,0,13,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    100,MARQUES-PASCU,Spring,2024,9,6,1,0,1,38,0,2.971052632,0,SPAN,0,0,2,4,5,2,2,4,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    117C,MIGLIO V G,Spring,2024,12,0,0,0,0,21,0,4,0,SPAN,0,0,9,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    127,GONZALES-SMIT,Spring,2024,18,0,0,0,0,21,0,3.957142857,0,SPAN,0,0,0,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    128,RAMIREZ PIMIE,Spring,2024,7,3,0,0,0,23,0,3.673913043,0,SPAN,0,0,4,2,0,0,6,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    130,CASTILLO J L,Spring,2024,2,4,6,0,1,22,0,2.636363636,0,SPAN,0,0,1,2,1,1,2,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    139,GUYTON ACOSTA,Spring,2024,12,4,0,0,2,46,0,3.673913043,0,SPAN,0,0,22,3,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    154C,MURUAMENDIARA,Spring,2024,3,2,0,0,0,11,0,3.636363636,0,SPAN,0,0,2,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    159,RAMIREZ PIMIE,Spring,2024,4,0,1,0,0,14,0,3.792857143,0,SPAN,0,0,6,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    165,GONZALES-SMIT,Spring,2024,9,1,0,0,0,15,0,3.806666667,0,SPAN,0,0,0,1,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    168,CASTILLO J L,Spring,2024,5,2,1,1,0,26,0,3.342307692,0,SPAN,0,0,4,2,1,0,7,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    171,LUPI J P,Spring,2024,16,2,0,0,1,31,0,3.693548387,0,SPAN,0,0,3,2,0,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    183E,MURUAMENDIARA,Spring,2024,2,0,0,1,0,19,0,3.568421053,0,SPAN,0,0,8,2,0,0,4,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    183IA,MURUAMENDIARA,Spring,2024,6,2,0,0,0,20,0,3.705,0,SPAN,0,0,7,1,0,0,2,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN    193B,BERMUDEZ S,Spring,2024,3,0,0,0,0,5,0,4,0,SPAN,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    1,CARTER M L,Spring,2024,1,2,4,0,1,16,0,2.1875,0,SPAN,0,0,0,1,2,1,1,1,0,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    1,GUYTON ACOSTA,Spring,2024,4,14,6,1,1,34,0,2.747058824,0,SPAN,0,0,0,1,1,1,3,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    1,IHLENDORF BUR,Spring,2024,3,11,4,3,5,40,0,2.465,0,SPAN,0,0,0,5,2,1,4,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    3,AMAYA E C,Spring,2024,0,6,5,0,0,25,0,2.584,0,SPAN,0,0,0,1,2,0,0,10,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    3,MOREJON C,Spring,2024,2,7,1,0,0,21,0,3.042857143,0,SPAN,0,0,0,5,2,0,2,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
SPAN W    3,VARGAS D M,Spring,2024,1,6,9,1,0,40,0,2.5575,0,SPAN,0,0,0,4,3,0,4,7,4,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR      2C,GARCIA DAHAN,Spring,2024,28,25,8,2,2,140,0,3.306428571,0,THTR,0,0,4,17,5,0,42,7,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR      5,FISHELL J K,Spring,2024,4,0,0,0,0,37,0,3.975675676,0,THTR,0,0,30,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR     10C,MCCARTHY C R,Spring,2024,2,1,0,0,0,8,0,3.5375,0,THTR,0,0,0,3,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR     11C,GREER J,Spring,2024,3,0,0,0,0,8,0,4,0,THTR,0,0,5,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR     15C,FISHELL J K,Spring,2024,3,2,0,0,0,8,0,3.5875,0,THTR,0,0,0,1,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR     22,SHEFFIELD C A,Spring,2024,9,0,2,0,0,21,0,3.623809524,0,THTR,0,0,3,1,1,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    110C,STEIN D A,Spring,2024,10,0,0,0,0,10,0,4,0,THTR,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    110D,STEIN D A,Spring,2024,8,0,0,0,0,9,0,4,0,THTR,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    111C,GREER J,Spring,2024,2,0,0,0,0,10,0,4,0,THTR,0,0,8,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    125,BEHM A,Spring,2024,5,0,0,0,0,11,0,4,0,THTR,0,0,6,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    130,SCOTT V,Spring,2024,7,9,0,0,0,17,0,3.394117647,0,THTR,0,0,0,0,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    140A,TORSIGLIERI A,Spring,2024,8,0,1,0,0,21,0,3.676190476,0,THTR,0,0,0,3,0,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    140A,WILLIAMS R C,Spring,2024,8,0,1,0,0,21,0,3.676190476,0,THTR,0,0,0,3,0,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    151C,APPEL I J,Spring,2024,5,0,0,0,0,10,0,3.97,0,THTR,0,0,4,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    151G,WILLIAMS R C,Spring,2024,2,0,0,0,0,9,0,3.788888889,0,THTR,0,0,2,1,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    152C,WRIGHT P R,Spring,2024,3,0,0,0,0,8,0,3.7625,0,THTR,0,0,2,0,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    180B,KING W D,Spring,2024,5,8,5,0,5,48,0,2.739583333,0,THTR,0,0,2,8,6,0,5,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    180E,GARCIA DAHAN,Spring,2024,28,8,2,0,2,67,0,3.502985075,0,THTR,0,0,12,6,1,0,5,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    181B,YOO E,Spring,2024,15,1,0,0,3,42,0,3.528571429,0,THTR,0,0,13,2,0,0,6,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    187PS,CABRANES-GRAN,Spring,2024,44,1,0,0,1,53,0,3.864150943,0,THTR,0,0,1,1,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    194A,CHATTERJI A,Spring,2024,21,0,0,0,0,21,0,4,0,THTR,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
THTR    195P,HERRERA D J,Spring,2024,6,0,0,0,0,6,0,4,0,THTR,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     120,HEY M V,Spring,2024,9,0,0,0,0,52,0,3.955769231,0,TMP,0,0,40,1,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     120,ZACKRISON E J,Spring,2024,32,10,2,0,1,114,0,3.537719298,0,TMP,0,0,10,16,3,1,35,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     122,HEY M V,Spring,2024,6,2,0,0,2,37,0,3.143243243,0,TMP,0,0,0,5,4,0,13,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     124,BOGART K S,Spring,2024,21,4,0,0,1,49,0,3.714285714,0,TMP,0,0,7,3,0,0,13,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     124,MCNELLIS A,Spring,2024,22,1,0,0,0,83,0,3.848192771,0,TMP,0,0,50,2,2,0,2,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     127,MAYER C,Spring,2024,18,3,0,0,0,35,0,3.717142857,0,TMP,0,0,3,3,0,1,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     127,ROTTNER R M,Spring,2024,19,0,1,0,0,36,0,3.758333333,0,TMP,0,0,5,6,0,0,4,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     127,SHAW-HEY A,Spring,2024,17,0,0,0,0,32,0,3.928125,0,TMP,0,0,12,1,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
TMP     191PL,GIBSON J D,Spring,2024,11,0,0,0,0,16,0,3.91875,0,TMP,0,0,2,1,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS   5,BROWN KARA,Spring,2024,0,0,0,0,0,0,8,0,8,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS  10,BROWN KARA,Spring,2024,0,0,0,0,0,0,13,0,13,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS  10,JACKSON W E,Spring,2024,0,0,0,0,0,0,20,0,20,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS  13,DONELAN J H,Spring,2024,0,0,0,0,0,0,8,0,8,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS  13,TERVALON J,Spring,2024,0,0,0,0,0,0,8,0,8,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 120,BROWN R L,Spring,2024,0,0,0,0,0,0,16,0,16,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 141B,JACKSON W E,Spring,2024,0,0,0,0,0,0,24,0,24,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 142,DONELAN J H,Spring,2024,0,0,0,0,0,0,5,0,5,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 142,TERVALON J,Spring,2024,0,0,0,0,0,0,5,0,5,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 152FL,JACKSON W E,Spring,2024,0,0,0,0,0,0,17,0,17,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 160SS,LUNSFORD K J,Spring,2024,0,0,0,0,0,0,12,0,12,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 170C,BROWN R L,Spring,2024,0,0,0,0,0,0,5,0,5,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
W&L  CS 170C,GRUE M N,Spring,2024,0,0,0,0,0,0,9,0,9,W&L,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,BRAUNSTEIN E,Spring,2024,2,4,0,1,0,15,0,3.373333333,0,WRIT,0,0,0,0,0,0,8,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,ERNST B C,Spring,2024,15,5,0,0,2,38,0,3.4,0,WRIT,0,0,0,4,1,0,9,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,HABER B W,Spring,2024,2,7,3,0,1,24,0,2.9375,0,WRIT,0,0,0,2,1,0,5,3,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,HAMMER L M,Spring,2024,0,0,1,0,1,6,0,2.566666667,0,WRIT,0,0,0,1,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,PROPEN A D,Spring,2024,12,0,0,0,0,32,0,3.68125,0,WRIT,0,0,0,3,0,0,16,0,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      1,WARWICK N L,Spring,2024,2,8,2,0,2,22,0,2.713636364,0,WRIT,0,0,1,0,3,0,2,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,BOCCHINO A,Spring,2024,4,2,0,0,0,23,0,3.417391304,0,WRIT,0,0,1,4,0,0,8,3,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,BRAUNSTEIN E,Spring,2024,22,3,1,0,0,48,0,3.695833333,0,WRIT,0,0,0,5,0,0,16,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,BREECE M J,Spring,2024,41,4,0,0,0,48,0,3.860416667,0,WRIT,0,0,0,2,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,CHAJDAS T W,Spring,2024,20,0,0,0,0,25,0,3.952,0,WRIT,0,0,1,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,CHENOWETH R C,Spring,2024,10,7,4,0,1,36,0,3.272222222,0,WRIT,0,0,2,3,1,0,7,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,D'ANCA C,Spring,2024,10,0,0,0,1,51,0,3.921568627,0,WRIT,0,0,40,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,DONELAN J H,Spring,2024,11,4,0,0,1,42,0,3.519047619,0,WRIT,0,0,0,11,0,0,15,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,EVANS-WARE K,Spring,2024,6,3,0,0,0,26,0,3.553846154,0,WRIT,0,0,1,7,0,0,8,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,FRANK D M,Spring,2024,14,3,0,0,0,25,0,3.776,0,WRIT,0,0,2,2,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,HABER B W,Spring,2024,19,9,2,0,0,49,0,3.53877551,0,WRIT,0,0,1,7,1,0,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,HOUSER V G,Spring,2024,16,3,0,1,0,25,0,3.62,0,WRIT,0,0,0,0,0,0,3,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,HUGHES D L,Spring,2024,38,4,0,0,3,73,0,3.616438356,0,WRIT,0,0,0,4,0,0,22,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,KILLEEN S M,Spring,2024,4,6,0,1,0,24,0,3.3375,0,WRIT,0,0,0,5,0,0,7,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,LEACH R K,Spring,2024,20,1,0,0,2,25,0,3.576,0,WRIT,0,0,0,0,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,NGUYEN M N,Spring,2024,6,4,3,0,0,23,0,3.32173913,0,WRIT,0,0,0,3,1,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,ROBERTS C K,Spring,2024,6,5,0,0,3,24,0,3.058333333,0,WRIT,0,0,0,4,0,0,5,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,ROEPE M W,Spring,2024,9,1,1,0,1,21,0,3.119047619,0,WRIT,0,0,0,0,1,1,4,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,ROGERS P M,Spring,2024,24,0,0,0,0,25,0,4,0,WRIT,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,SCHRANCK J B,Spring,2024,32,0,1,0,2,49,0,3.724489796,0,WRIT,0,0,5,2,0,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,VALLICELLA L,Spring,2024,45,2,2,0,3,73,0,3.48630137,0,WRIT,0,0,0,3,4,1,9,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,VERTIZ V,Spring,2024,2,1,0,0,0,12,0,3.616666667,0,WRIT,0,0,1,3,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,WEBBER M A,Spring,2024,13,6,2,0,3,49,0,3.171428571,0,WRIT,0,0,1,13,3,0,6,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,YAMBOLIEV K I,Spring,2024,17,7,0,0,0,44,0,3.609090909,0,WRIT,0,0,0,8,0,0,11,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2,ZISA J E,Spring,2024,24,6,2,1,0,66,0,3.465151515,0,WRIT,0,0,0,7,2,2,20,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT      2E,RUTHERFORD K,Spring,2024,10,0,1,0,0,11,0,3.818181818,0,WRIT,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT     50,BREECE M J,Spring,2024,16,1,2,0,0,25,0,3.624,0,WRIT,0,0,0,4,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT     50,DEAN C W,Spring,2024,14,3,0,0,0,24,0,3.708333333,0,WRIT,0,0,1,3,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT     50E,RUTHERFORD K,Spring,2024,21,4,0,0,0,26,0,3.834615385,0,WRIT,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105C,D'ANCA C,Spring,2024,7,0,0,0,2,28,0,3.714285714,0,WRIT,0,0,19,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105C,HOUSER V G,Spring,2024,20,1,0,0,0,25,0,3.856,0,WRIT,0,0,0,1,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105C,HUK P M,Spring,2024,19,0,0,0,0,22,0,3.986363636,0,WRIT,0,0,2,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105C,MCHUGH P,Spring,2024,17,0,0,0,0,22,0,3.913636364,0,WRIT,0,0,0,1,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105CH,COTICH C,Spring,2024,2,8,0,0,1,22,0,3.104545455,0,WRIT,0,0,0,5,1,0,4,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105CR,HAMMER L M,Spring,2024,4,0,0,0,0,10,0,3.62,0,WRIT,0,0,0,0,0,0,5,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105G,BAILLARGEON K,Spring,2024,17,0,2,0,0,21,0,3.714285714,0,WRIT,0,0,0,1,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105M,DEAN C W,Spring,2024,24,1,0,0,0,25,0,3.96,0,WRIT,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105M,FANCHER P J,Spring,2024,36,2,1,0,0,46,0,3.793478261,0,WRIT,0,0,0,1,0,0,4,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105M,FRANK D M,Spring,2024,33,3,0,0,1,47,0,3.776595745,0,WRIT,0,0,3,0,1,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105PS,HANSON J L,Spring,2024,28,5,0,0,0,46,0,3.719565217,0,WRIT,0,0,0,5,0,0,6,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105R,SAUR E H,Spring,2024,17,1,0,0,1,26,0,3.680769231,0,WRIT,0,0,0,3,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105SW,BROWN KARA,Spring,2024,9,1,1,0,0,24,0,3.591666667,0,WRIT,0,0,1,3,0,0,7,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105SW,CHENOWETH R C,Spring,2024,12,3,0,0,0,24,0,3.679166667,0,WRIT,0,0,0,5,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    105SW,SMITH K A,Spring,2024,38,3,0,0,0,50,0,3.828,0,WRIT,0,0,1,3,0,0,4,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    107B,COKLIN L,Spring,2024,9,3,1,0,0,23,0,3.582608696,0,WRIT,0,0,0,4,0,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    107B,KRUT R M,Spring,2024,36,2,0,0,0,46,0,3.895652174,0,WRIT,0,0,0,1,0,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    107DJ,CHAJDAS T W,Spring,2024,16,1,0,0,0,18,0,3.927777778,0,WRIT,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    107J,HIRSCH S A,Spring,2024,19,0,0,0,0,24,0,3.9625,0,WRIT,0,0,2,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
